repo,tag,title,published_at,kind,is_prerelease,notes_length,url,release_date
huggingface/transformers,v5.13.0,Release v5.13.0,2026-07-03 16:06:27+00:00,minor,False,33006,https://github.com/huggingface/transformers/releases/tag/v5.13.0,2026-07-03
pandas-dev/pandas,v3.0.4,pandas 3.0.4,2026-06-28 15:34:08+00:00,patch,False,629,https://github.com/pandas-dev/pandas/releases/tag/v3.0.4,2026-06-28
python/cpython,v3.15.0b3,v3.15.0b3,2026-06-23 09:35:49+00:00,minor,True,15,https://github.com/python/cpython/releases/tag/v3.15.0b3,2026-06-23
huggingface/transformers,v5.10.3,Patch release v5.10.4,2026-06-19 13:25:50+00:00,patch,False,746,https://github.com/huggingface/transformers/releases/tag/v5.10.3,2026-06-19
duckdb/duckdb,v1.5.4,DuckDB v1.5.4 Bugfix Release,2026-06-17 10:56:36+00:00,patch,False,8361,https://github.com/duckdb/duckdb/releases/tag/v1.5.4,2026-06-17
duckdb/duckdb,v1.4.5,DuckDB v1.4.5 Bugfix Release,2026-06-17 10:55:56+00:00,patch,False,2956,https://github.com/duckdb/duckdb/releases/tag/v1.4.5,2026-06-17
huggingface/transformers,v5.12.1,Patch release v5.12.1,2026-06-15 17:29:59+00:00,patch,False,455,https://github.com/huggingface/transformers/releases/tag/v5.12.1,2026-06-15
python/cpython,v3.14.6,v3.14.6,2026-06-10 10:03:53+00:00,patch,False,13,https://github.com/python/cpython/releases/tag/v3.14.6,2026-06-10
scikit-learn/scikit-learn,1.9.0,Scikit-learn 1.9.0,2026-06-02 13:10:06+00:00,minor,False,632,https://github.com/scikit-learn/scikit-learn/releases/tag/1.9.0,2026-06-02
duckdb/duckdb,v1.5.3,DuckDB v1.5.3 Bugfix Release,2026-05-20 11:52:36+00:00,patch,False,9822,https://github.com/duckdb/duckdb/releases/tag/v1.5.3,2026-05-20
scikit-learn/scikit-learn,1.9.0rc1,1.9.0rc1,2026-05-19 15:16:30+00:00,minor,True,21,https://github.com/scikit-learn/scikit-learn/releases/tag/1.9.0rc1,2026-05-19
pandas-dev/pandas,v3.0.3,pandas 3.0.3,2026-05-11 19:16:31+00:00,patch,False,629,https://github.com/pandas-dev/pandas/releases/tag/v3.0.3,2026-05-11
duckdb/duckdb,v1.5.2,DuckDB v1.5.2 Bugfix Release,2026-04-13 10:48:32+00:00,patch,False,11048,https://github.com/duckdb/duckdb/releases/tag/v1.5.2,2026-04-13
pandas-dev/pandas,v3.0.2,pandas 3.0.2,2026-03-30 20:18:13+00:00,patch,False,629,https://github.com/pandas-dev/pandas/releases/tag/v3.0.2,2026-03-30
duckdb/duckdb,v1.5.1,DuckDB v1.5.1 Bugfix Release,2026-03-23 16:12:58+00:00,patch,False,9663,https://github.com/duckdb/duckdb/releases/tag/v1.5.1,2026-03-23
